,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,-0.022057772,-0.10191983,-0.024464706,0.18693268,-0.0252618,0.0068541425,-0.14873597,-0.04203865,0.5171907,-0.20147887,0.112131014,-0.68896633,-0.19244416,0.046371214,0.04605028,0.09129515,-0.046600178,0.007667764,0.033092204,-0.057139445,-0.05228057,-0.7771105,-0.7425297,-0.2848145,-0.046570502,-0.21017587,-0.15653516,-0.21694545,-0.04499122,-0.035357602,-0.027999805,-0.14036013,-0.12472075,-0.024177415,-0.14739847,-0.19814302,-0.01181999,-0.006193203,0.28101996,-0.74414927,-0.21387242,-0.17700933,-0.034331433,-0.05893065,0.0072659845,0.027291648
CESM2,0.034008663,-0.005666296,-0.028646462,0.17284477,-0.0023420881,0.0185746,0.01637399,0.31281632,0.055786114,-0.26325294,0.6298687,-0.5510158,-0.86049634,0.14061242,-0.17242084,0.12710747,0.037215453,-0.035293307,0.01850329,0.019893743,-0.014010478,-0.15921307,-0.42361683,-0.2713268,-0.7294408,-0.0063538593,-0.27535856,0.33583456,-0.0098734405,0.036867224,0.00991073,-0.01568728,-0.12592441,-0.025371794,-0.21521547,-0.14832394,-0.028409865,-0.09489423,-0.10599896,-0.11141822,-0.09914002,-0.13275316,-0.033787385,0.124672666,0.010267403,-0.010060735
EC-Earth3-LR,0.109266214,-0.025278464,-0.014133637,0.09755635,0.057490394,0.0067508398,0.045351077,0.08987902,0.09257754,-0.5705548,0.15359391,0.17641614,-0.38314196,0.061026145,-0.10956221,0.10989064,-0.023653531,-0.018973619,0.04995291,0.061489318,-0.0052859737,-0.18501602,-0.21175374,-0.20464234,-0.03395977,0.27801335,-0.23024546,-0.5891271,-0.006772221,0.05306277,-0.0023259418,-0.02917312,-0.046928804,-0.012691911,-0.09828186,-0.03965204,-0.027652804,-0.082837425,-0.25184935,-0.14726152,-0.10309424,0.07967474,0.019768283,0.0044125416,0.016863192,-0.0018020468
FGOALS-f3-L,-0.02446517,-0.029847577,-0.038299315,0.06961747,0.05736884,-0.004381211,0.38739604,0.16207865,0.37625325,-0.59188485,-0.23178473,-0.099350855,-0.5131957,0.10363909,-0.16146967,0.02881743,0.037424043,0.00595256,-0.0023173685,0.06773379,-0.015770596,-0.18623571,-0.57567674,-0.17408957,-0.49104398,-0.18581145,-0.3771264,-0.42027617,-0.04164939,0.019571766,-0.023159275,-0.05179996,-0.0921277,0.0035572383,-0.15805784,0.0019168115,-0.07414905,-0.051527232,-0.32410648,-0.26061243,-0.067287125,-0.1930649,-0.004348548,0.20634657,0.009894143,0.03526801
FGOALS-g3,0.013411275,-0.01683071,-0.009446872,-0.08919507,0.031535804,-0.038209546,0.32580864,0.507839,0.42524236,-0.67033666,-0.005226203,0.2459112,0.6179369,0.29158258,0.25377965,0.11876428,-0.03352737,-0.029261468,0.005609636,0.056203246,0.003902329,-0.11894541,-0.05730963,-0.17340666,-0.5127282,-0.011617332,-0.37263578,0.5378412,-0.037491597,0.0019203532,-0.020668915,-0.012684804,-0.119721636,-0.009655433,-0.21097083,-0.0080863815,-0.034858644,-0.015627982,0.82247597,0.63073593,0.016987069,0.25884914,0.13407874,0.42690513,0.011825693,0.0015081172
GISS-E2-1-G,0.015882248,-0.0317936,-0.059579454,0.14220466,-0.0014879964,-0.08479993,0.32088542,0.20922121,0.3845289,-0.9051414,-0.3454036,0.08204856,-0.4317927,0.06561209,-0.038703863,0.06285203,-0.0034332213,-0.030920854,-0.0031099597,0.078454584,-0.04871759,-0.26134634,-0.38680267,-0.20030399,-0.13877891,-0.041274067,-0.21090819,-0.19729392,-0.043304,-0.009763861,-0.042298645,-0.054514132,-0.1330283,-0.028857904,-0.098456584,-0.06073479,-0.039832264,-0.11999219,-0.15863155,-0.3868817,-0.0876129,-0.14845783,0.052310787,0.0635715,0.00085030484,0.0043345457
INM-CM4-8,0.013334842,0.010893801,-0.049782477,-0.039095696,-0.0049821055,-0.024392571,0.17207757,0.12062886,-0.025005363,-0.6738406,-0.067457974,0.14593941,-0.50929993,-0.21285364,-0.15363573,0.12989385,0.01195561,0.018724034,-0.00575037,0.07967434,-0.08762599,-0.44092718,-0.25137246,-0.27522737,-0.07292759,-0.6540804,-1.129169,-0.65254784,-0.014017119,-0.028921034,-0.01642041,-0.051693566,-0.03368686,-0.022288855,0.03313066,-0.12936847,-0.11894595,0.04876645,-0.435554,-0.30342513,-0.054914627,-0.16965474,0.07244765,0.12056048,0.009970491,0.015086229
IPSL-CM6A-LR,-0.043042652,0.019802246,-0.040706225,-0.024064746,-0.06197019,-0.086857,0.057152368,0.09694038,0.0015607454,-0.26262254,0.08644131,-0.28019097,-0.35552296,0.05847328,-0.3035424,0.10764167,-0.02938986,-0.016726397,0.0053142942,0.00013060306,-0.018092053,-0.056222983,-0.36892512,-0.20293866,-0.37795088,-0.053846933,-0.33974603,-0.5848805,-0.036041822,-0.0129647795,-0.02106371,-0.106065795,-0.13842879,-0.005618619,-0.09157002,-0.018175673,-0.045877364,-0.009417903,-0.6104149,-0.76941293,-0.18477981,-0.11745025,0.06854415,0.06786052,0.010256642,0.0044104336
MIROC-ES2L,-0.037676796,0.044378772,-0.0088935895,-0.010025273,0.0009816677,0.03761378,0.100181624,0.14736287,0.1581192,0.13194557,-0.02688387,-0.7002388,-0.8792992,0.13248214,-0.120172076,0.12859122,-0.039494183,0.045497164,-0.037104096,0.080910824,-0.09524444,0.07732404,-0.7586054,-0.5252333,-0.31355572,0.21176669,-0.39942718,-0.1830776,-0.045741595,-0.009787437,-0.030349262,-0.063727975,-0.2509208,-0.068509944,-0.15882951,-0.06710216,-0.0371328,-0.0065067285,0.02543272,-0.8710963,-0.13225177,-0.21415514,0.08123338,-0.025240107,0.01955883,0.012027338
MPI-ESM1-2-LR,-0.04502571,-0.021054037,-0.029552225,0.11987235,0.0043744436,-0.006357286,0.069816075,-0.049216073,0.36680922,-0.36283654,-0.17171061,-0.3216536,-0.9704302,0.11548374,-0.028904108,0.06925739,-0.048860177,-0.031667583,-0.03707205,0.067383714,-0.031177778,-1.2067157,-0.64667684,-0.23108396,0.061226472,0.10811403,-0.27066547,-0.21433258,-0.03367896,-0.031067142,-0.027888492,-0.05311246,-0.037733473,-0.009567812,-0.079487644,-0.091911554,-0.0014525267,-0.082336195,-0.41249812,-0.24757779,-0.069902875,-0.09330046,-0.020256512,0.012045371,0.006529247,-0.013831529
MRI-ESM2-0,0.015091669,0.01669128,-0.016721895,0.061190974,-0.026305897,-0.043927666,0.06670646,0.20117325,0.015142179,-0.49345288,0.3485543,-0.55757886,-0.78109485,0.19343987,-0.20369847,0.055187955,-0.0032249622,0.07050886,-0.017258571,0.11439884,-0.016429804,-0.4304766,-0.42201534,-0.38354623,-0.59077704,0.056377966,-0.36980274,-0.2535872,-0.008810526,-0.0087195905,0.00200712,-0.00390969,-0.19102676,-0.025440928,-0.12727052,-0.16494827,-0.037048873,-0.08684635,-0.31490237,-0.29111832,-0.059090782,-0.092103735,0.02490735,0.12813298,0.009628789,0.033764325
NorESM1-F,-0.069910295,-0.03206856,-0.046707742,0.0821825,0.04312087,-0.0437686,0.2589067,0.22773565,0.11102281,-1.265213,-0.29645213,0.19357978,-0.79974943,0.17151986,-0.22561935,0.014567442,-0.030041812,0.008175473,-0.019535517,0.043207683,-0.026142422,-0.24851267,-0.7943387,-0.37322256,0.19790009,-0.01765061,0.0774382,0.40261114,-0.06005703,-0.020238627,-0.036334544,-0.0012944408,-0.07881834,0.023301043,-0.23412545,0.03213121,-0.073679656,-0.044557855,0.1335422,-0.69654167,-0.34129548,-0.4537211,-0.045337845,0.026551375,-0.006820835,0.03706762
