"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"273","HailLake.Cwynar.1995","lcRzxniarU5TTRDhKkh","371","621","","","","",""
"274","HaircutLake.Edwards.2015","lcRjEweSTJryZAYGb1l","416","621","","","","",""
"275","HalosI.Bottema.1988","lcR9Wrg5WflyKPDn0gq","62","621","","","","",""
"276","HamsLake.Bennett.1987","lcREzhF3Ls6YkH3b9dK","331","621","","","","",""
"277","Harding.Finkenbinder.2014","WEB6b4c459e","424","","","","","",""
"278","Harding.Finkenbinder.2014","WEBccba2853","424","","","","","",""
"279","HealLake.Brown.2006","WEB7ec5f35f","335","","","","","",""
"280","HeartLake.Whitehead.1990","lcRQfIlOAnlXiGk0QCz","655","621","","","","",""
"281","Heifeng.Yang.2019","WEBc755bc5d","670","","","","","",""
"282","Heihai.Ramisch.2016","WEB9c6bb823","25","","","","","",""
"283","HermitLake.Anderson.2018Legacy","lcRXLkyFOBBg5jAZeV9","513","621","","","","",""
"284","Heshang.Zhu.2017","WEB920c3f3a","696","","","","","",""
"285","Heshangcave.C..2008","S2LR984dImqQzT","106","671","","","","",""
"286","HeshangCave.Wang.2018","WEB7baf4af4","96","","","","","",""
"287","Hidden.Tang.1999","WEBe3940424","188","","","","","",""
"288","HiddenLake.Shuman.2009","pdR7ZhOvHhlSIltqdXY","82","152","","","","",""
"289","HighLake.Fuller.1995","lcRS0efHRT1BJR9ikbT","203","621","","","","",""
"290","HodellMiragoane1991","LPDfdd2a0239","149","","","","","",""
"291","Hollywoodcave.Whittaker.2011","S2LR508v90zCF5","610","480","","","","",""
"292","Hongyuan.Yu.2006","GH28d0af42","669","","","","","",""
"293","Hook.Winkler.1985c","OLS_RpZvDDmAq2c","659","186","","","","",""
"294","Hopschensee.vanderKnaap.1997","lcRP11grEDTPmBg8KEk","701","621","","","","",""
"295","Hoqcave.VanRampelbergh.2013","S2LRAwkFTDejje","427","","","","","",""
"296","Hoqcave.VanRampelbergh.2013","S2LRYaQyDMwILZ","427","","","","","",""
"297","Hoqcave.VanRampelbergh.2013","S2LRDg1jlgbIn8","427","","","","","",""
"298","Hoqcave.VanRampelbergh.2013","S2LRpSzKt5ew3h","427","","","","","",""
"299","Hovsgol.Chen.2008","GHae9e3b57","189","8","","","","",""
"300","Huagapocave.Kanner.2013","S2LRBXVhP2hFuP","385","589","","","","",""
"301","HulunLake.Wen.2009","LPDc4757948","519","","","","","",""
"302","HumberPond3.Weninger.1989","lcR3bIWhA552iIKLT1e","271","621","","","","",""
"303","Hureckaslat.Svobodova.2002","lcR1ZBXuVhPXDI89DZT","249","621","","","","",""
"304","Iffigsee.Schworer.2015","lcRNGsv0Rdc2JExg4ck","567","621","","","","",""
"305","igelsjon..2003","GH2b67b601","131","","","","","",""
"306","IrvinLake.Alwin.1982","lcRu5pCMYC2GUPBBzzd","10","621","","","","",""
"307","Isle.Hickman.1981","OLS_RvAYM4Zh3Pk","252","186","","","","",""
"308","Issyk.Chen.2008","GH351bb75d","189","337","","","","",""
"309","IzabalLake.Duarte.2021","WEB8ba52da4","171","","","","","",""
"310","Jaragucave.Novello.2017","S2LRmFyj5UzbmJ","625","622","","","","",""
"311","Jaslo.Harmata.1995","lcRRsJBLTTrGwZpaako","241","621","","","","",""
"312","Jaunay.Joly.2006","lcR7lkJf5CzFuBWMTZH","316","621","","","","",""
"313","JayLake.Ewing.2000","lcRJKbOXTRs7gaPoBqC","183","621","","","","",""
"314","Jeitacave.Cheng.2015","S2LRd51WDgJNht","232","","","","","",""
"315","JinfoCave.Yang.2019","WEB-4c2d3-dbbf-44eb-a641-c92f6","670","","","","","",""
"316","JinfoCave.Yang.2019","WEB-a98b0-e407-481c-8a60-4ca86","670","","","","","",""
"317","JingboLake.Li.2011","lcRS3drKNxjECOBHubn","378","621","","","","",""
"318","Jiuxiancave.Cai.2010","S2LRCb8IVUAAAd","681","","","","","",""
"319","Jones.Shapley.2009","GH81e53153","396","","","","","",""
"320","JonesLake.Teed.2009","lcRCHngCXxJyC7boD1V","525","621","","","","",""
"321","Karacacave.Rowe.2012","S2LRqRNA3Q5i5b","479","","","","","",""
"322","Karakul. Heinecke.2017","WEBc6ac156d","387","51","","","","",""
"323","KaraseLake.Tarasov.1995","lcREJxJv4v4Xe4w8NHU","602","621","","","","",""
"324","KarasyeLake.Tarasov.1994","lcR8mj67gLS492AwE9G","601","621","","","","",""
"325","KatalekhorCave.Andrews.2020","WEB866a88a0","275","","","","","",""
"326","KatalekhorCave.Andrews.2020","WEB1e4cc3cd","275","","","","","",""
"327","KayakskoyeZaimitschye.Anderson.2002","lcRJSh0UMEWySvvTehJ","15","621","","","","",""
"328","Kedarnath.Bhattacharya.2021","WEBe0d4cba7","573","","","","","",""
"329","Keilambete.Bowler.1970","OLS_Rwm0onKGDHv","63","186","","","","",""
"330","KendegelukolLake.Blyakharchuk.2004","lcRKnkmvI3WSopJhUG5","60","621","","","","",""
"331","Kesangcave.Cheng.2016","S2LRPxXg9IPqUc","237","233","680","","","",""
"332","KettleHole.Collins.1968","OLS_Ro4FH6vkuLB","124","186","","","","",""
"333","Kinnshaugen.Birks.2012","lcRuxGlk7M2jIBZRVX9","55","621","","","","",""
"334","Kirchner.Brugam.1980","OLS_Rcoxn5kpPMy","533","186","","","","",""
"335","KirmanLake.MacDonald.2016","LPD41437034","222","","","","","",""
"336","KirmanLake.MacDonald.2016","LPD912708fe","222","","","","","",""
"337","KiteLake.JimenezMoreno.2012","WEB3b8af65c","226","","","","","",""
"338","Kivu.Olsson.1959","OLS_R4Ijw8OPsjM","354","186","","","","",""
"339","KlangCave.Chawchai.2021","WEB0deda0eb","559","","","","","",""
"340","KNI-51.Denniston.2013","S2LRhTtQNZMrVu","529","528","527","517","","",""
"341","KnobHillPond.Oswald.2018","lcR7PMjhhOCIJBCqpWw","639","621","","","","",""
"342","KomaritsaPeatExposure.Anderson.2002","lcR2i3W5G42BwI55d4z","14","621","","","","",""
"343","kortlanda..2008","GHf3b09a00","12","","","","","",""
"344","Kotumsarcave.Kaushal.2018","S2LRzUOF7LRvIn","465","575","","","","",""
"345","KotyrkolPeatBog.Tarasov.1992","lcR24ksEG9b6zeB53ZK","600","621","","","","",""
"346","KoycegizGolu.vanZeist.1975","lcRY9JluMsRhPsnGrPq","698","621","","","","",""
"347","KR02.Peros.2008","PYT4D9VTHOK","418","235","","","","",""
"348","Kuruyange.Bonnefille.2000","WEBb6841ae1","507","","","","","",""
"349","Kuruyange.Bonnefille.2000","WEB4fba7605","507","","","","","",""
"350","Labskydul.Engel.2010","lcRiW7mrxVo28FuA6iC","178","621","","","","",""
"351","LacaLeonard.Labelle.1984","lcRn8pfW2aOkGuGkhHo","119","621","","","","",""
"352","LacaSam.author.1111","lcRxEJjleCcL9BE7yhk","noPubOnRecord","621","","","","",""
"353","LacauxQuenouilles.Savoie.1979","lcRqZ63xorXscRkaQkU","390","621","","","","",""
"354","LacBastien.Bennett.1987","lcRZEIQ110W378d9TOj","331","621","","","","",""
"355","LacCaribou.Jette.1992","lcRdtSl7jfYKWCM0SIH","259","621","","","","",""
"356","LacColin.Mott.1977Legacy","lcR3VLvepAl8jPQ0Jap","511","621","","","","",""
"357","LacdeBretaye.Thole.2016","lcRTAPYumbvCzcHXAOG","608","621","","","","",""
"358","LacdePraver.Nakagawa.1998","lcRUGwWEexWpwOLUlSO","457","621","","","","",""
"359","LacdesGrenouilles.Finsinger.2020","lcRKSi9CEIDrCS6N9y5","195","621","","","","",""
"360","LacdesPluviers.Payette.1993","pdRQF0zAqzO4AmBeGOQ","557","152","","","","",""
"361","LacdesRochesMoutonnees.McAndrews.1977","lcRxypeAN6trKSWT7tq","315","621","","","","",""
"362","LacduLauzon.Argant.2000","lcROpAQxk5Ao0bN7OYy","24","621","","","","",""
"363","LacFaribault.Richard.1981","lcRbxTYXmaIHDE2ZQHZ","531","621","","","","",""
"364","LacHertel.Muller.2003","pdRACANKQ7mf1qmSdRS","570","152","","","","",""
"365","LacPetel.King.1986Legacy","lcR4Qzw6lCy4TeiU8MG","350","621","","","","",""
"366","LacSuperieurdeFully.Finsinger.2007","lcRb4cZaToq9bd0pTUO","194","621","","","","",""
"367","LagoPuertoArturo.Wahl.2014","WEBd1a317bc","153","154","","","","",""
"368","LagoRogaguado_LR400.Brugger.2016","WEB4362aee7","560","7","","","","",""
"369","LagoUmayo.Baker.2009","WEB3a01bea5","487","","","","","",""
"370","LagunaDeAljojuca.Bhattacharya.2015","LPD5627de74","619","","","","","",""
"371","LagunaDeJuanacatlan.Jones.2015","LPD91196716","420","556","","","","",""
"372","LagunaDelMaule.FrugoneAlvarez.2020","WEB-49d07-0b65-4966-88d1-10bad","426","","","","","",""
"373","LagunadeUbaque.Bird.2017","WEB5699be91","75","","","","","",""
"374","LagunadeUbaque.Bird.2017","WEBfdaf6c10","75","","","","","",""
"375","LagunaLaGaiba.Fornace.2016","WEBeab5d1e0","358","","","","","",""
"376","LagunaMandiore.Mayle.2019","WEBed535db2","247","","","","","",""
"377","LagunaPumacocha.Bird.2011","WEB98bf1888","76","","","","","",""
"378","LaiNairSchulsTarasp.Welten.1982","lcRMHuDYr4ooGY4YFQN","650","621","","","","",""
"379","Lake31.Eisner.1995","lcR8K3KbvN8GOh5iSkH","653","621","","","","",""
"380","LakeAspvatnet_precip.Bakke.2005","GH0a936972","320","","","","","",""
"381","LakeBayanchagan.Jiang.2010","lcRclYIyYQ8Kq5SvVWo","304","621","","","","",""
"382","LakeBI2.Gajewski.1992","lcRU9Wv8xbnApq52K5R","333","621","","","","",""
"383","LakeCH2.Garralla.1991","lcRvWx7hzKylZOr6Ue9","211","621","","","","",""
"384","LakeCochise.Waters.1989","pdRNyQeqaj6PkSQYY4b","438","152","","","","",""
"385","LakeEdward.Russell.2005","WEB579775e5","284","","","","","",""
"386","LakeGrinnell.Zhao.2010","lcRTFzF9IdSdplxVIsK","109","621","","","","",""
"387","LakeJake.Miller.2005","lcRq6t1IHrB7zTbN9av","219","621","","","","",""
"388","LakeLB1.Gajewski.1993","lcRJebEqyeZJeTWr9gD","332","621","","","","",""
"389","LakeMalheur.Dugas.1998","pdRQMrcbT7IHqNHz1vg","145","152","","","","",""
"390","LakeMuzi.Humphries.2019","WEBfb1da3c4","399","","","","","",""
"391","LakeMuzi.Humphries.2019","WEB039f5197","399","","","","","",""
"392","LakeoftheWoodsWyoming.Shuman.2010","pdRPXtR2BTqSS5KCkTm","81","152","","","","",""
"393","LakeOPines.Ewing.2000PaleoDIVER","pdRn4uVv5xmEy3QbRZo","183","152","","","","",""
"394","LakeSolso.Odgaard.1988","lcRonkgxC2OuZ5Khx0O","472","621","","","","",""
"395","LakeTahoe.Lindstrom.1990","pdR6bOS2xjY78ElzAe7","368","152","","","","",""
"396","LakeTianchi.Jiang.2019","lcRLUGwe6u9sNwCWBA0","305","621","","","","",""
"397","LakeVan.Chen.2008","GH7fd4a6f1","189","","","","","",""
"398","LakeVarna.FilipovaMarinova.2016","lcR1swPAuEHYu5rmwNE","66","621","","","","",""
"399","LakeVictoriaPilkingtonBay.Stager.2003","WEBd1f64e69","268","","","","","",""
"400","LakeVoulkaria.Jahns.2005","lcR92SM1LEHTVnz3T6Q","281","621","","","","",""
"401","LakeWA01.Ravindra.2009","lcRBEvaydIFwOnSZuma","521","621","","","","",""
"402","LakeWestOkoboji.Van.1979","pdR889sQHzAg5FOKA7S","345","152","","","","",""
"403","Lapagrandecave.Strikis.2011","S2LRdNK2vfJIac","454","464","","","","",""
"404","LarixlaricinaSite5.Penalba.1997","lcRz3iMAf5YXkq554az","393","621","","","","",""
"405","Lavau.Voeltzel.1987","lcRQLFkYUzyqFavzbXI","637","621","","","","",""
"406","Leake.Dodson.1974b","OLS_RzRHx3ZG7y7","165","186","","","","",""
"407","Leconte.Hubbs.1960","OLS_Rt3bq8OIkfc","128","186","","","","",""
"408","LeFourneau.Barbier.2000","lcRO66HhB9HOPSTtGWS","40","621","","","","",""
"409","LeGesvres.Ouguerram.2002","lcRzquIL84dpfJdywy3","474","621","","","","",""
"410","Lehmancaves.Lachniet.2014","S2LRBsC6hoSiak","425","295","173","","","",""
"411","LehmanCaves.Steponaitis.2015","WEB753b9479","173","","","","","",""
"412","LejdaChampfer.Gobet.2005","lcRU88QgoMtobQ78a50","223","621","","","","",""
"413","LeMaraisdelaPergeSouth.Diot.1995","lcRiPXC1QOIC1ugFpbT","162","621","","","","",""
"414","Lembolovskoyelake.Arslanov.2001","lcRuBI86L2fbLUHGeuU","28","621","","","","",""
"415","LiangLuar.Griffiths.2016","S2LRgwWVs7MIO3","435","394","579","436","384","",""
"416","LianhuacaveHunan.Cosford.2008","S2LRig6NPgl5Aq","288","257","","","","",""
"417","LianhuacaveShanxi.Dong.2018","S2LRbRVYOu2hWu","308","","","","","",""
"418","LilleKjelavatn.Birks.2007","lcRyQRzcwKdCEM16Z9h","54","621","","","","",""
"419","LilyLake.Cwynar.1990","lcRPCIzys1FJAv11nWi","370","621","","","","",""
"420","LilyLake.Flakne.2003","lcRjUN7lrKnYMS1DSr3","370","621","","","","",""
"421","LilyLake.Minckley.2007","lcROBIER3oUzr1eINaV","370","621","","","","",""
"422","LimeLake.Steinman.2016","LPDd6c25776","84","","","","","",""
"423","LimeLake.Steinman.2016","LPD17fc7c77","84","","","","","",""
"424","Limnoncave.Peckover.2019","S2LR8AEiambOvz","170","","","","","",""
"425","LisanDeadSea.Vogel.1972","OLS_Rz4NEhuh5D0","47","186","","","","",""
"426","Litlvatnet.Bjune.2009","lcRukEb6BnbJCwvGQcS","57","621","","","","",""
"427","LittleCheyneCourtWallandmarsh.Waller.1999","lcRyc8tsEYpBLQv53H9","644","621","","","","",""
"428","LittleSaltSpring.Clausen.1979","pdRePrUACmQFQiQeVdA","89","152","","","","",""
"429","LittleSwiftLake.Axford.2004","lcRUFhLpJJEIgFJy1fm","684","621","","","","",""
"430","LittleWilleyPond.Oswald.2018","lcRMPkP0JPngepqKt5J","639","621","","","","",""
"431","LittleWindyHillPond.Pribyl.2014","pdRkoO11xxFGVWJeL62","493","152","","","","",""
"432","LochaChroisg.Pennington.1973","lcR1zcvlTpHe7Gu2Ozc","498","621","","","","",""
"433","LochCleat.Birks.1983","lcRJ5gQAZ1C6slQ2wzM","53","621","","","","",""
"434","Logne.Barbier.1997","lcRsKj7HRaEa8Csoe9n","39","621","","","","",""
"435","LoneFoxLake.MacDonald.1984","lcRGoh2qGUcOrSspCnQ","402","621","","","","",""
"436","LongBreach.Fyfe.2003","lcR2gzCRtzbPXSErk7O","512","621","","","","",""
"437","LongLake.Carter.2017","lcRZkWC1fAUMWFcopmS","624","621","","","","",""
"438","LongquanLakeLC2.Liu.1991","lcRCI2bFYEi8iJDZ3pT","386","621","","","","",""
"439","LoonPond.author.1111","lcRtljGbgEMRcxcyRwF","noPubOnRecord","621","","","","",""
"440","LorraineLake.Calcote.2003","lcRi9DLyVIp1ptYxuLt","520","621","","","","",""
"441","LoughMullaghlahan.Fossitt.1994","lcRShwFkjy6CGJ3eBei","197","621","","","","",""
"442","LowderCreekBog.Anderson.1999","WEB506ba549","514","","","","","",""
"443","LowerBearLake.Kirby.2012","GH44c0a9bf","422","","","","","",""
"444","LS06MIBO","LS06MIBO10a","554","","","","","",""
"445","LS07EAGO","LS07EAGO01","646","","","","","",""
"446","LS09MAAS","LS09MAAS","433","","","","","",""
"447","LS09MIKU","LS09MIKU01a","586","","","","","",""
"448","LS10ANBL","LS10ANBL01a","577","","","","","",""
"449","LS10HESA","LS10HESA","405","","","","","",""
"450","LS12GOBA","LS12GOBA01a","88","","","","","",""
"451","LS13LUBA","LS13LUBA01a","675","","","","","",""
"452","LS14YAHA","LS14YAHA02a","141","","","","","",""
"453","LS15OEPO","LS15OEPO01a","395","","","","","",""
"454","LS99CUVA","LS99CUVAc","289","","","","","",""
"455","Lubbock.Green.1962","OLS_RF4kqHZt5Ej","628","186","","","","",""
"456","Luganskoe.Efremov.1995","lcRCHeP7xkq0keh2M2L","172","621","","","","",""
"457","Lugu_ZS10.Zhao.2021","WEB-549aa-b641-401a-8b39-3c413","108","","","","","",""
"458","LukaschinYarPeatExposure.Anderson.2002","lcR6zfg40KfwrtKMP1E","15","621","","","","",""
"459","LynchsCrater.Kershaw.1974","OLS_RFZ5ftnO2t2","348","186","","","","",""
"460","M125-67-4.Bahr.2021","WEB4b390c30","2","","","","","",""
"461","M77_2_059_1.N_rnberg.2015","WEB8c583cb8","163","174","","","","",""
"462","MacalChasm.Akers.2016","S2LR9DSUVgi2FG","499","287","","","","",""
"463","MacalChasm.Akers.2016","S2LRE5ZXEOA0gV","499","287","","","","",""
"464","MagadiNatron.Butzer.1972","OLS_Rl1U1UXxAIf","83","186","","","","",""
"465","MakepeaceCedarSwamp.Newby.2000PaleoDIVER","pdRXoXk6qKsU102x2C4","484","152","","","","",""
"466","MallardPond.Teed.2009","lcRtxJO058HFi2LTtPf","525","621","","","","",""
"467","MansellPond.AlmquistJacobson.1995","lcRsGKE1HtShd5fiLfc","245","621","","","","",""
"468","Manyara.Holdship.1976","OLS_Rrt4iAcWTIK","285","186","","","","",""
"469","MaraisdeKeswick.Dinel.1986","lcR05uuYvKoZnUNKOyb","234","621","","","","",""
"470","MaraisdeLisle.Ouguerram.2002","lcRws8UtuiI7583vk4v","474","621","","","","",""
"471","Marcella.Anderson.2007","LPD43c710a2","376","","","","","",""
"472","MarcellaLake.Anderson.2005","pdRo4qVPibvVmQpFyRt","375","152","","","","",""
"473","MarcellaLake.Edwards.2015","lcRTMSt7gELRNTyCnb3","416","621","","","","",""
"474","Masatjornet.Birks.2012","lcR8fc8B2pDMdMUjVUf","55","621","","","","",""
"475","Mawmluhcave.Berkelhammer.2013","S2LRjdxDZIRfvJ","392","569","578","200","115","216","101"
"476","Mawmluhcave.Berkelhammer.2013","S2LR7XglDiUCAP","392","569","578","200","115","216","101"
"477","Mawmluhcave.Berkelhammer.2013","S2LR8MbMTROPjI","392","569","578","200","115","216","101"
"478","Mawmluhcave.Berkelhammer.2013","S2LRE4ZUFzdUQT","392","569","578","200","115","216","101"
"479","MD02-2553.Poore.2009","WEBd4917199","518","","","","","",""
"480","MD99-2266.Moossen.2015","WEBbe8b843b","248","","","","","",""
"481","MD99-2266.Moossen.2015","WEB11e36a24","248","","","","","",""
"482","MD99-2266.Moossen.2015","WEBeac28b13","248","","","","","",""
"483","MeliLake.Anderson.2001","WEBe0e75109","374","","","","","",""
"484","Mendota.Winkler.1983","OLS_Rxv9LmnnQsQ","522","186","","","","",""
"485","Mexico.Limbrey.1976","OLS_RTsihKwmPMu","67","186","","","","",""
"486","MianchengM1.Yang.1998","lcRXvbC4hazRnHK1FGt","676","621","","","","",""
"487","MicaLake.Anderson.2017","lcR51PFKlQqno4VsZWI","508","621","","","","",""
"488","MiddenCluster1.Harbert.2018","WEB613ee041","544","148","","","","",""
"489","MiddenCluster1.Harbert.2018","WEB25ae3120","544","148","","","","",""
"490","MiddenCluster2.Harbert.2018","WEB85c563b9","544","148","","","","",""
"491","MiddenCluster2.Harbert.2018","WEBc9823492","544","148","","","","",""
"492","MiddenCluster3.Harbert.2018","WEBb09859f3","544","148","","","","",""
"493","MiddenCluster3.Harbert.2018","WEB7f9af5c1","544","148","","","","",""
"494","MiddenCluster4.Harbert.2018","WEB05240426","544","148","","","","",""
"495","MiddenCluster4.Harbert.2018","WEB7a49dd55","544","148","","","","",""
"496","MiddenCluster5.Harbert.2018","WEB773f70f5","544","148","","","","",""
"497","MiddenCluster5.Harbert.2018","WEBf0c97cde","544","148","","","","",""
"498","MiddenCluster6.Harbert.2018","WEBf3bcbd67","544","148","","","","",""
"499","MiddenCluster6.Harbert.2018","WEBc7c1ae1d","544","148","","","","",""
"500","MiddenCluster7.Harbert.2018","WEB05a4e59f","544","148","","","","",""
"501","MiddenCluster7.Harbert.2018","WEBc20aba9d","544","148","","","","",""
"502","MiddenCluster8.Harbert.2018","WEB8163f7a4","544","148","","","","",""
"503","MiddenCluster8.Harbert.2018","WEBf52f4207","544","148","","","","",""
"504","MiddenCluster9.Harbert.2018","WEB00c20586","544","148","","","","",""
"505","MiddenCluster9.Harbert.2018","WEBbae8d58a","544","148","","","","",""
"506","Minamihama_MHWL1.Yamamoto.2022","WEB-af994-241c-4196-a6fa-3589e","417","","","","","",""
"507","Minden.Booth.2012","NAm2kHydro015","542","","","","","",""
"508","Minnetonkacave.Lundeen.2013","S2LRLzrOCKJ0i6","692","","","","","",""
"509","Minucua.Goman.2018","WEBb09ddc98","441","","","","","",""
"510","Minucua.Goman.2018","WEBae63e2cc","441","","","","","",""
"511","Miryang.Park.2021","WEB2e632027","309","","","","","",""
"512","Miryang.Park.2021","WEBfbcf81a6","309","","","","","",""
"513","MissionCrossBog.Thompson.1984","lcRrhdt8mGJgTgCwIu9","613","621","","","","",""
"514","MohawkPond.Gaudreau.1986","lcRgMVsDdQMDFsI82dW","214","621","","","","",""
"515","Molinoscave.Moreno.2017","S2LRZ8aI3nEQ7d","11","26","","","","",""
"516","MonoLake.Davis.1999","lcRf9gq05AeCrcXDAIG","476","621","","","","",""
"517","MontCarreHeremence.Welten.1982","lcRI110DdZhuZLCfO81","651","621","","","","",""
"518","MoodyLake.Roy.2003","pdRXf2sxCgEn0CczUtv","550","152","","","","",""
"519","MoonLake.Laird.1996","lcR3ODiGVrOdeMTGOjO","366","621","","","","",""
"520","Moore.Schweger.1983","OLS_RwLxfQP11eP","566","186","","","","",""
"521","MorrisPond.Morris.2013","WEB90956c0c","296","","","","","",""
"522","MorrisPond.Morris.2013","WEBa30eb517","296","","","","","",""
"523","Morttjern.Birks.2012","lcR9d3tUR71Zym2GxwZ","55","621","","","","",""
"524","MottaNaluns.vanderKnaap.1997","lcRgDGHB8seTJysUnfr","700","621","","","","",""
"525","Mrtvyluh.Svobodova.2001","lcRQwutEsOeqKYYHxvG","596","621","","","","",""
"526","MS21PC.Hennekam.2020","WEB-f9320-c765-469f-b4ee-6276b","536","","","","","",""
"527","Mshinskoyeraisedbog.Arslanov.2001","lcRURPnnXHhtNCJhPrL","28","621","","","","",""
"528","MV0811-14JC.Du.2018","LPD7939faee","663","","","","","",""
"529","MyshetskoeDolgoe.Kremenetski.2000","lcR85IhuFYet9fVBJm1","351","621","","","","",""
"530","N14.Andresen.2004","GH77108454","94","","","","","",""
"531","Nabta.Wendorf.1976","OLS_Rrtm3chd7C5","652","186","","","","",""
"532","Naivasha.Richardson.1972","OLS_RFUFyYZUb0P","342","186","","","","",""
"533","NakuruElmenteita.Butzer.1972","OLS_RjwvXKkI618","342","186","","","","",""
"534","NamCo. Kasper.2015","WEB-747c6-735e-4b08-a565-465fb","612","","","","","",""
"535","Nar.Roberts.2016","WEB88fe721c","458","319","419","","","",""
"536","NatlaBog.MacDonald.1983","lcRQaFKDkPHIf6LdubV","208","621","","","","",""
"537","NBJ2015iso.Wong.2015","WEB02d26251","127","","","","","",""
"538","NEEM.Rasmussen.2013","WEB29098c59","555","","","","","",""
"539","NelsonLake.Delcourt.2002","lcR2ADpVvLUJQ0bZHQZ","488","621","","","","",""
"540","Neor.Sharifi.2015","LPDfefd61ba","23","","","","","",""
"541","Nerfloen.Vasskog.2012","LPDce500deb","352","","","","","",""
"542","NevadaPrecip.Hughes.1996","WEB75eec6a6","406","","","","","",""
"543","NewarkValleyPond.Mensing.2008","lcRFg61loqbAXRktuir","568","621","","","","",""
