"","dataset","tsid","longitude","latitude","ipccReg","Category","CategorySpec","recordRange","recordRes","recordResPlus","season","climInterp","source"
"397","Mawmluhcave.Berkelhammer.2013","S2LR8MbMTROPjI",91.8817,25.2622,"SAS","Speleothem","Speleothem (d18O)",5481.36271769,5.95300943500024,5.95970205499998,"Summer","P","SISAL"
"398","Mawmluhcave.Berkelhammer.2013","S2LRE4ZUFzdUQT",91.8817,25.2622,"SAS","Speleothem","Speleothem (d18O)",5336.46755309,27.3271125299998,27.2570019099999,"Summer","P","SISAL"
"399","MD02-2553.Poore.2009","WEBd4917199",-91.4167,27.1835,"CNA","Other","Other (not calibrated)",9042.493,31.2299999999996,29.2849999999994,"Summer","P","wNA"
"400","MD99-2266.Moossen.2015","WEBbe8b843b",-23.2655,66.2295,"GIC","Leaf Wax dD","Leaf Wax (dD)",10030,31,31,"Summer","P","Other"
"401","MD99-2266.Moossen.2015","WEB11e36a24",-23.2655,66.2295,"GIC","Leaf Wax dD","Leaf Wax (dD)",10423,25,26,"Summer","P","Other"
"402","MD99-2266.Moossen.2015","WEBeac28b13",-23.2655,66.2295,"GIC","Other","Other (not calibrated)",10434,26,26,"Summer","P","Other"
"403","MeliLake.Anderson.2001","WEBe0e75109",-149.075,68.6836,"NWN","Lake Sediment d18O","Lake Sediment (d18O)",8654.6,366.6,370.1,"Annual","P-E","Other"
"404","Mendota.Winkler.1983","OLS_Rxv9LmnnQsQ",-89.42,43.1,"ENA","Lake Deposits","Lake Deposits",10319,1149,2252.5,"Annual","P-E","Oxford Lake Levels Database"
"405","Mendota.Winkler.1986","M2Lh6gv77keP",-89.42,43.1,"ENA","Pollen","Pollen (calibrated)",10215,334,334,"Annual","P","Marsicek et al. (2018)"
"406","Menez-Cam.VanZeist.1964","RPqesdhKH1b",-3.5,48.25,"WCE","Pollen","Pollen (calibrated)",4980.82,107.29,107.29,"Annual","P","Marsicek et al. (2018)"
"407","Mexico.Limbrey.1976","OLS_RTsihKwmPMu",-99,19.5,"NCA","Lake Deposits","Lake Deposits",10319,1149,1147,"Annual","P-E","Oxford Lake Levels Database"
"408","MiddenCluster1.Harbert.2018","WEB613ee041",-110.1304,37.9049,"WNA","Other","Other (calibrated)",11174,27,27,"Annual","P","wNA"
"409","MiddenCluster1.Harbert.2018","WEB25ae3120",-110.1304,37.9049,"WNA","Other","Other (calibrated)",11174,27,27,"Annual","P-E","wNA"
"410","MiddenCluster2.Harbert.2018","WEB85c563b9",-115.1879,36.3806,"WNA","Other","Other (calibrated)",11746,94.5,97,"Annual","P","wNA"
"411","MiddenCluster2.Harbert.2018","WEBc9823492",-115.1879,36.3806,"WNA","Other","Other (calibrated)",11746,94.5,103,"Annual","P-E","wNA"
"412","MiddenCluster3.Harbert.2018","WEBb09859f3",-108.0819,36.0589,"WNA","Other","Other (calibrated)",7568,325,308,"Annual","P","wNA"
"413","MiddenCluster3.Harbert.2018","WEB7f9af5c1",-108.0819,36.0589,"WNA","Other","Other (calibrated)",7568,325,308,"Annual","P-E","wNA"
"414","MiddenCluster4.Harbert.2018","WEB05240426",-112.7451,43.6488,"WNA","Other","Other (calibrated)",6645,317.5,329,"Annual","P","wNA"
"415","MiddenCluster4.Harbert.2018","WEB7a49dd55",-112.7451,43.6488,"WNA","Other","Other (calibrated)",6645,317.5,317.5,"Annual","P-E","wNA"
"416","MiddenCluster5.Harbert.2018","WEB773f70f5",-106.0203,32.4659,"NCA","Other","Other (calibrated)",7670,105.5,87,"Annual","P","wNA"
"417","MiddenCluster5.Harbert.2018","WEBf0c97cde",-106.0203,32.4659,"NCA","Other","Other (calibrated)",7670,105.5,87,"Annual","P-E","wNA"
"418","MiddenCluster6.Harbert.2018","WEBf3bcbd67",-106.0203,32.4659,"NCA","Other","Other (calibrated)",11403,185,214,"Annual","P","wNA"
"419","MiddenCluster6.Harbert.2018","WEBc7c1ae1d",-106.0203,32.4659,"NCA","Other","Other (calibrated)",11403,178.5,185,"Annual","P-E","wNA"
"420","MiddenCluster7.Harbert.2018","WEB05a4e59f",-116.0048,34.1548,"WNA","Other","Other (calibrated)",10000,197,194,"Annual","P","wNA"
"421","MiddenCluster7.Harbert.2018","WEBc20aba9d",-116.0048,34.1548,"WNA","Other","Other (calibrated)",10000,197,203,"Annual","P-E","wNA"
"422","MiddenCluster8.Harbert.2018","WEB8163f7a4",-109.0977,32.3106,"NCA","Other","Other (calibrated)",7596,93,90.5,"Annual","P","wNA"
"423","MiddenCluster8.Harbert.2018","WEBf52f4207",-109.0977,32.3106,"NCA","Other","Other (calibrated)",7596,93,94,"Annual","P-E","wNA"
"424","MiddenCluster9.Harbert.2018","WEB00c20586",-115.5548,31.6387,"NCA","Other","Other (calibrated)",11361,190,172.5,"Annual","P","wNA"
"425","MiddenCluster9.Harbert.2018","WEBbae8d58a",-115.5548,31.6387,"NCA","Other","Other (calibrated)",11361,190,172.5,"Annual","P-E","wNA"
"426","Minden.Booth.2012","NAm2kHydro015",-82.83,43.61,"ENA","Other","Other (not calibrated)",3042.9,13.95,13.9000000000001,"Summer","P-E","Other"
"427","Minnetonkacave.Lundeen.2013","S2LRLzrOCKJ0i6",-111.519,42.0875,"WNA","Speleothem","Speleothem (d13C)",11115.595,6.80199999999968,6.79999999999973,"Winter","P","SISAL"
"428","Minucua.Goman.2018","WEBb09ddc98",-97.609,17.079,"SCA","Other","Other (not calibrated)",4489.582,4.173,4.173,"Summer","P","wNA"
"429","Minucua.Goman.2018","WEBae63e2cc",-97.609,17.079,"SCA","Other","Other (not calibrated)",4413,1,1,"Annual","P","wNA"
"430","MirePelisoo.EPD","RSUXSR1TBzG",22.38,58.47,"NEU","Pollen","Pollen (calibrated)",10391.31,197.82,200.26,"Annual","P","Marsicek et al. (2018)"
"431","MireSaviku.Sarv.1975","RvWQ2bFFTRO",27.23,58.4,"NEU","Pollen","Pollen (calibrated)",10529.61,156.299999999999,156.63,"Annual","P","Marsicek et al. (2018)"
"432","Miryang.Park.2021","WEB2e632027",128.7781,35.4386,"EAS","Other","Other (not calibrated)",6422,3,3,"Annual","P-E","Other"
"433","Miryang.Park.2021","WEBfbcf81a6",128.7781,35.4386,"EAS","Pollen","Pollen (not calibrated)",5192,38,38,"Annual","P-E","Other"
"434","MittlereHellelen.Welten.1982","R9IyRnOeNEu",7.84,46.28,"WCE","Pollen","Pollen (calibrated)",10739.15,156.650000000001,152.645,"Annual","P","Marsicek et al. (2018)"
"435","MLake.Ritchie.1977","M2L4g91g0giP",-133.47,68.27,"NWN","Pollen","Pollen (calibrated)",10699,102.5,110,"Annual","P","Temp12k"
"436","Mohawk_Pond.Marsicek.2013","GH9372e157",-73.283,41.817,"ENA","Pollen","Pollen (calibrated)",10800,50,50,"Annual","P","Other"
"437","Molinoscave.Moreno.2017","S2LRZ8aI3nEQ7d",-0.4492,40.7925,"MED","Speleothem","Speleothem (d13C)",8081.7591649,14.6085755849999,14.1005716549998,"Winter","P-E","SISAL"
"438","MonheganIslandMeadow.Bostwick.1978","M2L9tqeckzcP",-69.3,43.77,"ENA","Pollen","Pollen (calibrated)",10752,185.95,177,"Annual","P","Marsicek et al. (2018)"
"439","Moon.Grimm.1996","M2Lcdhn1g1wP",-98.16,46.86,"CNA","Pollen","Pollen (calibrated)",10879,81,80.5,"Annual","P","Marsicek et al. (2018)"
"440","Moore.Schweger.1983","OLS_RwLxfQP11eP",-110.5,53,"NWN","Lake Deposits","Lake Deposits",10319,1149,1145,"Annual","P-E","Oxford Lake Levels Database"
"441","MoorimWeissenstadterForst.Hahne.1992","R4HAqt50vNY",11.88,50.14,"WCE","Pollen","Pollen (calibrated)",6963.31,136.73,143.965,"Annual","P","Marsicek et al. (2018)"
"442","Moraine.Hansen.1985","M2L28xoo2wwP",-58.05,52.27,"NEN","Pollen","Pollen (calibrated)",10582,228.5,229,"Annual","P","Marsicek et al. (2018)"
"443","MorrisPond.Morris.2013","WEB90956c0c",-112.7747,37.6744,"WNA","Pollen","Pollen (not calibrated)",8668.588,76.7205000000002,77.3370000000004,"Summer","P-E","wNA"
"444","MorrisPond.Morris.2013","WEBa30eb517",-112.7747,37.6744,"WNA","Pollen","Pollen (not calibrated)",8668.588,76.7205000000002,77.3370000000004,"Summer","P-E","wNA"
"445","MV0811-14JC.Du.2018","LPD7939faee",-120,34.3,"WNA","Other","Other (not calibrated)",7153,60,63,"Annual","P","wNA"
"446","Myrtle.Janssen.1968","M2L955k1lpfP",-93.39,47.98,"CNA","Pollen","Pollen (calibrated)",10906,138.5,151,"Annual","P","Marsicek et al. (2018)"
"447","N14.Andresen.2004","GH77108454",-44.18,59.98,"GIC","Other","Other (not calibrated)",11457.933,28.4900000000016,28.4900000000016,"Annual","P","Other"
"448","Nabta.Wendorf.1976","OLS_Rrtm3chd7C5",31,23,"SAH","Lake Deposits","Lake Deposits",10319,1149,1145,"Annual","P-E","Oxford Lake Levels Database"
"449","Naivasha.Richardson.1972","OLS_RFUFyYZUb0P",36.33,-0.68,"SEAF","Lake Deposits","Lake Deposits",10319,1149,1795,"Annual","P-E","Oxford Lake Levels Database"
"450","NakuruElmenteita.Butzer.1972","OLS_RjwvXKkI618",36.17,-0.42,"SEAF","Lake Deposits","Lake Deposits",10319,1149,2899.5,"Annual","P-E","Oxford Lake Levels Database"
"451","Nar.Roberts.2016","WEB88fe721c",34.4564,38.34,"MED","Lake Sediment d18O","Lake Sediment (d18O)",11994,1,1,"Annual","P-E","Other"
"452","Nattmalsvatn.Janbu.2011","LPD2999f647",17.3943,69.1793,"NEU","Other","Other (not calibrated)",9855.829,21.9630000000002,22.1379999999999,"Winter","P","Other"
"453","NBJ2015iso.Wong.2015","WEB02d26251",-98.34,29.69,"NCA","Speleothem","Speleothem (other)",6911.542,35.3830000000007,35.3830000000007,"Annual","P-E","wNA"
"454","Nedlouc.Larouche.1981","M2Lscfsosn8P",-71.65,57.65,"NEN","Pollen","Pollen (calibrated)",4073,235,181,"Annual","P","Marsicek et al. (2018)"
"455","NEEM.Rasmussen.2013","WEB29098c59",-51.06,77.45,"GIC","Glacier Ice","Glacier Ice",11980,20,20,"Annual","P","Other"
"456","Neor.Sharifi.2015","LPDfefd61ba",48.5553,37.9603,"WCA","Leaf Wax dD","Leaf Wax (dD)",11800,237,234,"Annual","P-E","Other"
"457","Nerfloen.Vasskog.2012","LPDce500deb",6.8667,61.9333,"NEU","Other","Other (not calibrated)",7771.631,51.9965,51.674,"Winter","P","Other"
"458","NevadaPrecip.Hughes.1996","WEB75eec6a6",-115.8,37.8,"WNA","Other","Other (calibrated)",7950,1,1,"Annual","P","Other"
"459","NgamringTso.Conroy. 2017","WEB820982f9",87.2,29.3,"TIB","Other","Other (not calibrated)",4050,25,25,"Summer","P","Other"
"460","No_Bottom_Pond.Marsicek.2013","GH8d2bed43",-70.114,41.285,"ENA","Pollen","Pollen (calibrated)",11000,50,50,"Annual","P","Other"
"461","NorthGRIP.Gkinis.2014","WEB4eba1170",-42.32,75.1,"GIC","Glacier Ice","Glacier Ice",11969,3.5,3.59999999999945,"Annual","P","Other"
"462","NSRZ_PWetQ.Chevalier.2017","WEB96107d21",24.74,-27.86,"WSAF","Pollen","Pollen (not calibrated)",12000,100,100,"Summer","P","Other"
"463","NussbaumerSeen.Rsch.1995","Rq4inYBSGTM",8.82,47.62,"WCE","Pollen","Pollen (calibrated)",10921.05,129.07,129.07,"Annual","P","Marsicek et al. (2018)"
"464","Nutt.Bennett.1987","M2Ljbhw17vuP",-79.45,45.22,"ENA","Pollen","Pollen (calibrated)",10546,101,132.5,"Annual","P","Marsicek et al. (2018)"
"465","OC437_07_GC27","WEB801cc768",-10.5147,30.8798,"NAO","Leaf Wax dD","Leaf Wax (dD)",11052,342.5,343,"Annual","P","Other"
"466","OC437_07_GC37","WEBa0656c03",-15.4469,26.816,"SAH","Leaf Wax dD","Leaf Wax (dD)",10709.5,284.5,285,"Annual","P","Other"
"467","OC437_07_GC49","WEBc9694a07",-17.3868,23.2062,"SAH","Leaf Wax dD","Leaf Wax (dD)",10788.5,459.75,482,"Annual","P","Other"
"468","OC437_07_GC68","WEBd1b743fa",-17.3227,19.363,"SAH","Leaf Wax dD","Leaf Wax (dD)",9855,322.5,322,"Annual","P","Other"
"469","ODP1019.Barron.2003","LPDac11991f",-124.93,41.682,"WNA","Pollen","Pollen (not calibrated)",11430,130,130,"Annual","P-E","Other"
"470","Okoboji.Dodd.1968","OLS_R4a8rMDILX2",-95.2,43.33,"CNA","Lake Deposits","Lake Deposits",10319,1149,2177.5,"Annual","P-E","Oxford Lake Levels Database"
"471","OltushLake.EPD","RipfIRSIDIN",23.96,51.7,"WCE","Pollen","Pollen (calibrated)",10476.82,271.09,260.285,"Annual","P","Marsicek et al. (2018)"
"472","Oregoncavesnationalmonument.Ersek.2012","S2LRtvw0psQup2",-123.4072,42.0981,"WNA","Speleothem","Speleothem (d13C)",7757.46,2.57999999999993,2.57999999999993,"Winter","P-E","SISAL"
"473","OroLake.Michels.2007","GH0c323a35",-105.3487,49.7842,"WNA","Other","Other (not calibrated)",6819.86,21.687,21.6840000000002,"Annual","P-E","Other"
"474","Ospitale.Watson.1996","R6NmELfFCE4",10.78,44.16,"MED","Pollen","Pollen (calibrated)",6245.42,114.17,115.7,"Annual","P","Marsicek et al. (2018)"
"475","Ostrowite.Milecka.2002","RJqCHr3jYTn",17.6,53.79,"WCE","Pollen","Pollen (calibrated)",10501.45,73.3400000000001,80.9549999999999,"Annual","P","Marsicek et al. (2018)"
"476","OwensLake.Benson.2002","GHff49b8d3",-117.9683,36.4367,"WNA","Lake Sediment d18O","Lake Sediment (d18O)",10951.81,63.14,63.14,"Annual","P-E","Other"
"477","Oyo.Ritchie.1985","OLS_RRP3VpY156T",26.18,19.27,"SAH","Lake Deposits","Lake Deposits",9009,1147,2240,"Annual","P-E","Oxford Lake Levels Database"
"478","Pamvotis.Frogley.2001","WEB47e28fe1",20.9234,39.6524,"MED","Lake Sediment d18O","Lake Sediment (d18O)",10354,118,125,"Annual","P-E","Other"
"479","PannelBridge.Waller.1993","RA8aUcdAq89",0.68,50.91,"NEU","Pollen","Pollen (calibrated)",10676.05,61.9800000000005,61.9800000000005,"Annual","P","Marsicek et al. (2018)"
"480","ParadiseLake.Steinman.2016","LPD179d915e",-122.617,54.685,"NWN","Lake Sediment d18O","Lake Sediment (d18O)",9086.4,17.4000000000005,17.4000000000005,"Winter","P-E","Other"
"481","ParadiseLake.Steinman.2016","LPDb99b434c",-122.617,54.685,"NWN","Other","Other (not calibrated)",9086.4,17.4000000000005,17.4000000000005,"Winter","P-E","Other"
"482","Paraisocave.Wang.2017","S2LRKkd7T4UOdy",-55.45,-4.0667,"NSA","Speleothem","Speleothem (d18O)",10923.1368,8.03999999999996,8.03999999999999,"Summer","P","SISAL"
"483","ParkPond1.Lynch.1998","M2Ld1pgjspxP",-109.96,43.47,"WNA","Pollen","Pollen (calibrated)",5006,224,221,"Annual","P","Temp12k"
"484","ParuCo.Bird.2014","WEB88f459b8",92.352,29.796,"TIB","Other","Other (not calibrated)",10935,30,30,"Annual","P-E","Other"
"485","Patzcuaro.Watts.1982","OLS_ROkPLG6ezuC",-101.58,19.58,"NCA","Lake Deposits","Lake Deposits",10319,1149,1217.5,"Annual","P-E","Oxford Lake Levels Database"
"486","PerchLake_Manitoba.Ritchie.NA","M2L5ja1jp17P",-100.9,51.65,"NEN","Pollen","Pollen (calibrated)",5972,108,108,"Annual","P","Marsicek et al. (2018)"
"487","PerchLake_ON.Terasmae.1975","M2Lzryvyul2P",-77.34,46.03,"ENA","Pollen","Pollen (calibrated)",10700,176,176,"Annual","P","Marsicek et al. (2018)"
"488","PereNoelcave.Verheyden.2014","S2LR5E5HYoppj9",5.2,50,"WCE","Speleothem","Speleothem (d18O)",10202.6495098,65.7647058799994,65.7647058799994,"Annual","P-E","SISAL"
"489","PereNoelcave.Verheyden.2014","S2LR6dZP0RBWKz",5.2,50,"WCE","Speleothem","Speleothem (d13C)",10202.6495098,65.7647058799994,65.7647058799994,"Annual","P-E","SISAL"
"490","Pergusa.Zanchetta.2007","WEB4686e3e6",14.3,37.5167,"MED","Lake Sediment d18O","Lake Sediment (d18O)",10427.807484,267.379679,267.379679,"Annual","P-E","Other"
"491","Pickerel.Watts.1968","OLS_RifcIdFjsr2",-97.33,43.5,"CNA","Lake Deposits","Lake Deposits",10319,1149,1145,"Annual","P-E","Oxford Lake Levels Database"
"492","Pinhook.Booth.2012","LPD6d6b5db7",-86.8459,41.6141,"ENA","Other","Other (not calibrated)",1875,17.45,17.4,"Annual","P-E","Other"
"493","PinkPanthercave.Asmerom.2007","S2LRZakzwznzEB",-105.2,32,"NCA","Speleothem","Speleothem (d18O)",11954,17,17,"Annual","P","SISAL"
"494","Pityoulish.Osullivan.1976","OLS_RgJcXt77Xws",-3.78,57.2,"NEU","Lake Deposits","Lake Deposits",9009,1147,2987,"Annual","P-E","Oxford Lake Levels Database"
"495","PixieLake.Brown.2006","WEB69d58fa4",-124.2,48.6,"WNA","Pollen","Pollen (calibrated)",11830,145,145.5,"Annual","P","wNA"
"496","PogoniaBog.Cushing.1979","M2L40cfg182P",-93.63,45.04,"CNA","Pollen","Pollen (calibrated)",10895,171.5,173,"Annual","P","Marsicek et al. (2018)"
"497","PointEscuminac.Warner.1991","M2Lye4yngywP",-64.8,47.08,"ENA","Pollen","Pollen (calibrated)",10628,114,121,"Annual","P","Marsicek et al. (2018)"
"498","PolandSpring.Jacobson.Ja","M2L4z2m7vmbP",-70.35,44.03,"ENA","Pollen","Pollen (calibrated)",10853,300,297,"Annual","P","Marsicek et al. (2018)"
"499","Posy.Shafer.1989","M2Lejdigk7uP",-111.7,37.94,"WNA","Pollen","Pollen (calibrated)",8490.9,315,315,"Annual","P","Temp12k"
"500","PrazRodet.Shotyk.1997","RMhvvEpYdfj",6.17,46.57,"WCE","Pollen","Pollen (calibrated)",10679.5,56.75,56.75,"Annual","P","Marsicek et al. (2018)"
"501","Prespa.Leng.2013","WEB3f7db8eb",21.0245,40.8789,"MED","Lake Sediment d18O","Lake Sediment (d18O)",9731,141,135.5,"Annual","P-E","Other"
"502","PuertodeLosTornos.Penalba.1989","RtJZd5WaWfK",-3.43,43.15,"MED","Pollen","Pollen (calibrated)",9674.91,254.2,254.2,"Annual","P","Marsicek et al. (2018)"
"503","PusciznaRekowianska.Obidowicz.1993","R0O32DzTRx6",19.82,49.48,"WCE","Pollen","Pollen (calibrated)",10921.91,132.175,132.225,"Annual","P","Marsicek et al. (2018)"
"504","PyramidLake.Benson.2001","LPDe0293a7c",-119.5835,40.072,"WNA","Lake Sediment d18O","Lake Sediment (d18O)",7521.886,8,8,"Annual","P-E","Other"
"505","Qinghai.Leipe.2013","GHbd4875df",100.17,36.87,"EAS","Lake Sediment d18O","Lake Sediment (d18O)",11543,197,197,"Annual","P-E","Other"
"506","Qingtiancave.Liu.2015","S2LRXxThqdCA5e",110.3667,31.3333,"EAS","Speleothem","Speleothem (d18O)",4827,2,2,"Summer","P","SISAL"
"507","Qixing.Cai.2001","GH277b6fef",107.267,26.07,"EAS","Speleothem","Speleothem (d18O)",7575.48,75.4699999999998,75.4699999999998,"Summer","P","Other"
"508","Queens.Moser.1990","M2Ln2clq8z2P",-110.57,64.12,"NWN","Pollen","Pollen (calibrated)",8840.4,182.1,182.1,"Annual","P","Marsicek et al. (2018)"
"509","Quexil.Deevey.1978","OLS_RSQIFjVgiso",-90.12,16.93,"SCA","Lake Deposits","Lake Deposits",10319,1149,3444.5,"Annual","P-E","Oxford Lake Levels Database"
"510","Quincan.Kershaw.1971","OLS_RWG6DubzJBE",145.58,-17.3,"NAU","Lake Deposits","Lake Deposits",9009,1147,915,"Annual","P-E","Oxford Lake Levels Database"
"511","Qunfcave.Fleitmann.2007","S2LRPRzDX3Apju",54.3,17.1667,"ARP","Speleothem","Speleothem (d18O)",10250,6,6,"Summer","P","SISAL"
"512","Radtke.Webb.1983","M2L6vkg2f70P",-88.1,43.4,"ENA","Pollen","Pollen (calibrated)",10908,238,247,"Annual","P","Marsicek et al. (2018)"
"513","RaigastvereLake.Pirrus.1987","RcOOhcbUlkp",26.67,58.6,"NEU","Pollen","Pollen (calibrated)",10898.21,108.56,109.25,"Annual","P","Marsicek et al. (2018)"
"514","RainbowLake.Shuman.2016","GH3c165b1c",-109.5,44.94,"WNA","Other","Other (not calibrated)",11950,50,50,"Annual","P-E","wNA"
"515","Rainhacave.Cruz.2009","S2LRm3xx7z73Nc",-37.6432,-5.5782,"NES","Speleothem","Speleothem (d18O)",7949.85,25.5399999999991,25.5399999999991,"Summer","P","SISAL"
"516","Rainhacave.Cruz.2009","S2LRev7LVrub4Z",-37.6432,-5.5782,"NES","Speleothem","Speleothem (d18O)",7595.82,22.1900000000005,22.1900000000005,"Summer","P","SISAL"
"517","Ranger.Brubaker.1983","PYTCYF0YQTU",-153.65,67.15,"NWN","Pollen","Pollen (calibrated)",11323,323,323,"Annual","P","Arctic Holocene"
"518","RantinLake.Pompeani.2012","WEBdb2377bc",-129.0323,60.0296,"NWN","Other","Other (not calibrated)",7832,30,29,"Annual","P-E","Other"
"519","Rapid.Fall.1994","M2Lnx2n0qghP",-109.19,42.73,"WNA","Pollen","Pollen (calibrated)",10599,341.5,345,"Annual","P","Temp12k"
"520","RedRock.Maher.1972","M2Lodn9z6zeP",-105.54,40.08,"WNA","Pollen","Pollen (calibrated)",10688.8,241.4,241.4,"Annual","P","Temp12k"
"521","Reidel.Almquist-Jacobson.1992","M2Lpgi79ubiP",-95.28,46.21,"CNA","Pollen","Pollen (calibrated)",10787,298.5,297,"Annual","P","Marsicek et al. (2018)"
"522","RhamnusLake.Brown.2006","WEB4581c605",-123.72,48.63,"WNA","Pollen","Pollen (calibrated)",10888,176,176,"Annual","P","wNA"
"523","RiviereFeuilles2.Larouche.1981","M2L2mzijcgrP",-71.95,58.22,"NEN","Pollen","Pollen (calibrated)",5122,237.5,240.5,"Annual","P","Marsicek et al. (2018)"
"524","Rogers.Marsicek.2013","GH6d568132",-72.17,41.21,"ENA","Pollen","Pollen (calibrated)",11000,50,50,"Annual","P","Other"
"525","Ruakuricave.Whittaker.2008","S2LRAnGQ24xzrA",175.08,-36.27,"NZ","Speleothem","Speleothem (d13C)",3690.9575,113.38145,117.8881,"Annual","P","SISAL"
"526","Ruby.Thompson.1984","OLS_RXjJiwKiDO4",-115.33,40.58,"WNA","Lake Deposits","Lake Deposits",10319,1149,2177.5,"Annual","P-E","Oxford Lake Levels Database"
"527","Rukatunturi.Hicks.1985","RM0Qcsi34Pq",29.15,66.17,"NEU","Pollen","Pollen (calibrated)",5516.95,374.32,374.32,"Annual","P","Marsicek et al. (2018)"
"528","Russell.Hubbs.1965","OLS_R28mFojQksk",-118.77,38.05,"WNA","Lake Deposits","Lake Deposits",10319,1149,3470,"Annual","P-E","Oxford Lake Levels Database"
"529","Rutz.Waddington.1969","OLS_RAcSotekegB",-93.87,44.87,"CNA","Lake Deposits","Lake Deposits",10319,1149,3590,"Annual","P-E","Oxford Lake Levels Database"
"530","Rystad.Vorren.2012","LPDfc71e6bc",13.7839,68.2389,"NEU","Other","Other (not calibrated)",8333,25,26,"Annual","P-E","Other"
"531","SaegistalseePollen.Wick.2003","RmkGVTr1EFS",7.98,46.68,"WCE","Pollen","Pollen (calibrated)",8945.37,37.3200000000006,40.3400000000001,"Annual","P","Marsicek et al. (2018)"
