"","dataset","tsid","longitude","latitude","ipccReg","Category","CategorySpec","recordRange","recordRes","recordResPlus","season","climInterp","source"
"532","Sahiyacave.Sinha.2015","S2LRuTFfyRE5aJ",77.8667,30.6,"TIB","Speleothem","Speleothem (d18O)",5705.79,1.23999999999978,1.24000000000001,"Summer","P","SISAL"
"533","Saint-JeanOrleans.Richard.1981","M2Lcv1tbc40P",-70.93,46.93,"ENA","Pollen","Pollen (calibrated)",6418,309,309,"Annual","P","Marsicek et al. (2018)"
"534","SaintCalixte.Larouche.NA","M2Le95xy9vtP",-73.87,45.96,"ENA","Pollen","Pollen (calibrated)",10711,375,375,"Annual","P","Marsicek et al. (2018)"
"535","SaintThomas.Voeltzel.1987","RDfHXlu4lrn",-1.75,47.27,"WCE","Pollen","Pollen (calibrated)",6794.92,64.08,64.08,"Annual","P","Marsicek et al. (2018)"
"536","SaintViaudContin.Bernard.1996","RCQp2aaeRCB",-2.02,47.27,"WCE","Pollen","Pollen (calibrated)",7150.65,77.9000000000003,77.9000000000005,"Annual","P","Marsicek et al. (2018)"
"537","SaladaPequena.EPD","RtarLUdkblD",-0.22,41.03,"MED","Pollen","Pollen (calibrated)",4360.67,90.3800000000001,90.3800000000001,"Annual","P","Marsicek et al. (2018)"
"538","SalardeUyuni.Baker.2001","WEBb3112945",-67.5,-20.25,"SWS","Other","Other (not calibrated)",11962.2,195.86,195.86,"Annual","P-E","Other"
"539","Sanbaocave.Dong.2010","S2LRvmcMc9Rkdw",110.4333,31.667,"EAS","Speleothem","Speleothem (d18O)",11914.18881273,25.523809,25.5238090000003,"Summer","P","SISAL"
"540","SchellingsBog.Barron.2004","WEBfde0ea8e",-123.36,40.28,"WNA","Pollen","Pollen (not calibrated)",4780,50,50,"Annual","P-E","wNA"
"541","SchellingsBog.Barron.2004","WEB62272ffc",-123.36,40.28,"WNA","Pollen","Pollen (not calibrated)",4780,50,50,"Annual","P-E","wNA"
"542","Searles.Stuiver.1964","OLS_RfD6MNlONoM",-117.7,35.6,"WNA","Lake Deposits","Lake Deposits",10319,1149,3730,"Annual","P-E","Oxford Lake Levels Database"
"543","Selima.Haynes.1979","OLS_R1vmDg2WuOy",29.34,21.32,"SAH","Lake Deposits","Lake Deposits",10319,1149,4825,"Annual","P-E","Oxford Lake Levels Database"
"544","Sellevollmyra.Vorren.2007","LPD4777044b",15.9417,69.1083,"NEU","Other","Other (not calibrated)",6397,36,36,"Annual","P-E","Other"
"545","Shatucacave.Bustamante.2016","S2LRFanjoqsyzm",-77.9,-5.7,"NWS","Speleothem","Speleothem (d18O)",10593.88,3.97000000000025,3.97000000000025,"Summer","P","SISAL"
"546","Shigaocave.Jiang.2012","S2LRZPZvtczPu8",107.167,28.183,"EAS","Speleothem","Speleothem (d18O)",9863.07059059701,17.8241736199993,17.8556106799997,"Summer","P","SISAL"
"547","Shkodra.Zanchetta.2012","WEB53be5f2c",19.32,42.17,"MED","Lake Sediment d18O","Lake Sediment (d18O)",4480,26,26,"Annual","P","Other"
"548","SihailongwanMaar.Stebich.2015","LPD6fdee25b",126.6,42.28,"EAS","Pollen","Pollen (calibrated)",11842,61,61,"Annual","P","Other"
"549","SilverLake.Kirby.2015","WEB6e4417db",-116.135,35.3669,"WNA","Other","Other (not calibrated)",10476.8,40.9000000000005,40.900000000001,"Annual","P-E","Other"
"550","SilverLake.Kirby.2015","WEB696efa25",-116.135,35.3669,"WNA","Other","Other (not calibrated)",10055.4,40.6000000000004,40.7999999999993,"Annual","P-E","Other"
"551","Sixteen.Futyma.1986","M2Ll0uq2vy4P",-84.32,45.6,"ENA","Pollen","Pollen (calibrated)",8213,246,247,"Annual","P","Marsicek et al. (2018)"
"552","SkalaMarioncave.Psomiadis.2018","S2LR6gyBxnVNNh",24.5144,40.6387,"MED","Speleothem","Speleothem (d18O)",4052.5,15.2,15.1999999999998,"Annual","P","SISAL"
"553","Skrzetuszewskie.Litt.2001","RbpfVOmRAle",17.36,52.55,"WCE","Pollen","Pollen (calibrated)",10751.62,122.49,128.08,"Annual","P","Marsicek et al. (2018)"
"554","Sluggan.Smith.1991","R9Amq0IJUkv",-6.26,54.78,"NEU","Pollen","Pollen (calibrated)",10899.49,103.535,103.535,"Annual","P","Marsicek et al. (2018)"
"555","SO188_342.ContrerasRosales.2014","WEB1afc8afc",90.0339,19.9734,"SAS","Leaf Wax dD","Leaf Wax (dD)",11460,244,244,"Summer","P","Other"
"556","SO189_144KL.Mohtadi.2014","WEBecd5f91f",98.066,1.155,"SEA","Leaf Wax dD","Leaf Wax (dD)",11820,150,150,"Annual","P","Other"
"557","SO90_56KA.Doose-Rolinski.2001","WEBaf733834",65.916,24.833,"SAS","Other","Other (calibrated)",2949,1,1,"Annual","P-E","Other"
"558","Sonk11D.Lauterbach.2014","LPD343ffe05",75.1961,41.7939,"ECA","Leaf Wax dD","Leaf Wax (dD)",5936.2,64.15,64.2,"Summer","P-E","Other"
"559","Soreqcave.Orland.2009","S2LR8DePB64lKW",35.0226,31.7558,"MED","Speleothem","Speleothem (d18O)",11640,30,30,"Annual","P","SISAL"
"560","SouthernCalifornia.Ohlwein.2012","LPDbf7cf950c",-116.66,33.7689,"NCA","Pollen","Pollen (not calibrated)",11038,352,364.5,"Annual","P","Temp12k"
"561","SouthRhodyBog.Booth.2012","GH277c77ee",-86.07,46.56,"ENA","Other","Other (not calibrated)",5141.75,26.4499999999998,26.4749999999999,"Summer","P-E","Other"
"562","SPC14.Kahle.2021","WEB5a8bf9f7",98.1596,-89.9889,"EAN","Glacier Ice","Glacier Ice",11900,100,100,"Annual","P","Other"
"563","Spitzkoppe.Chase.2009","WEB29d9f1fb",15.1955,-21.8317,"WSAF","Other","Other (not calibrated)",11707,52.5,52,"Annual","P-E","Other"
"564","StewartBog.Jimenez-Moreno.2008","WEB26ef9aa2",-105.7225,35.8323,"WNA","Pollen","Pollen (not calibrated)",11964.5,64.9000000000001,32.625,"Winter","P-E","wNA"
"565","Stomyren..2008","GH5fffab58",13.4667,60.2083,"NEU","Other","Other (not calibrated)",7939.819,59.8400000000001,59.8399999999999,"Annual","P-E","Other"
"566","Straldzhamire.Tonkov.2009","RXkikgtwXoC",26.77,42.63,"MED","Pollen","Pollen (calibrated)",4356.94,160.71,170.35,"Annual","P","Marsicek et al. (2018)"
"567","SudobleLake.Elovicheva.1985","RyxeCixPXtQ",28.1,54.03,"WCE","Pollen","Pollen (calibrated)",10349.58,266.93,282.815,"Annual","P","Marsicek et al. (2018)"
"568","SumxiCo.Leipe.2014","GH97df1e73",80.27,34.623,"TIB","Pollen","Pollen (not calibrated)",12000,125,125,"Annual","P-E","Other"
"569","Svanavatnet.Bjune.2008","PYTQQ59PH63",14.05,66.44,"NEU","Pollen","Pollen (calibrated)",8600.485,115.9825,116.299,"Annual","P","Arctic Holocene"
"570","SwanLake.Schmieder.2011","LPD1498ea89",-99.03,42.16,"CNA","Other","Other (not calibrated)",8289.9,51.4849999999997,51.4899999999998,"Annual","P-E","wNA"
"571","SwanLake.Schmieder.2011","LPD03892251",-99.03,42.16,"CNA","Other","Other (not calibrated)",8383.3,51.4874999999997,51.4849999999997,"Annual","P-E","wNA"
"572","SwienskuhleDAHIII.Behre.1986","RlvYZoLc8pv",8.73,53.67,"NEU","Pollen","Pollen (calibrated)",6850.84,94.2200000000003,93.8400000000001,"Annual","P","Marsicek et al. (2018)"
"573","SwietokrzyskieLake.Makohonienko.1991","RykyyR1fP8i",17.6,52.54,"WCE","Pollen","Pollen (calibrated)",10777.64,54.1899999999996,54.4700000000001,"Annual","P","Marsicek et al. (2018)"
"574","TaguaTagua.Montane.1968","OLS_ROVfSZGskJH",-71.17,-34.5,"SWS","Lake Deposits","Lake Deposits",10319,1149,2069,"Annual","P-E","Oxford Lake Levels Database"
"575","Takahula.Clegg.2010","GH2f86466e",-153.6667,67.35,"NWN","Lake Sediment d18O","Lake Sediment (d18O)",8120,59,59,"Annual","P-E","Other"
"576","TalismanCave.Tan.2021","WEBcbb13563",72.35,40.39,"WCA","Speleothem","Speleothem (other)",4761,3,3,"Winter","P","Other"
"577","Tamborilcave.Wortham.2017","S2LR9MB33afoO5",-47,-16,"NES","Speleothem","Speleothem (d18O)",9040.4735,12.6072999999997,12.60725,"Summer","P","SISAL"
"578","Tanganyika.Tierney.2008","WEBfc31e088",29.83,-6.72,"SEAF","Leaf Wax dD","Leaf Wax (dD)",10519,151,152.5,"Summer","P","Other"
"579","Tarnowiec.Harmata.1987","RohD6ikpsj3",21.62,49.7,"WCE","Pollen","Pollen (calibrated)",10238.72,226.07,221.53,"Annual","P","Marsicek et al. (2018)"
"580","Telmen.Chen.2008","GH16221a19",97.33,48.83,"ESB","Other","Other (not calibrated)",11000,50,500,"Annual","P-E","Other"
"581","TeReingacave.Lorrey.2008","S2LRMfVuvM6F9K",177.52,-38.82,"NZ","Speleothem","Speleothem (d13C)",9105.6496,14.8859,14.5999999999999,"Annual","P-E","SISAL"
"582","TermitOuestKandelBouzou.Faure.1963","OLS_RmpO87FXnN9",11.25,16.08,"SAH","Lake Deposits","Lake Deposits",10319,1149,1200,"Annual","P-E","Oxford Lake Levels Database"
"583","TiagoLake.Jimenez-Moreno.2011","WEBe350f165",-106.6128,40.5803,"WNA","Pollen","Pollen (not calibrated)",11942,44,50,"Winter","P-E","wNA"
"584","Tianmen.Cai.2010","S2LR5DxjLd46Qb",90.0667,30.9167,"TIB","Speleothem","Speleothem (d18O)",4897.5,5.09999999999854,5.09999999999854,"Summer","P","SISAL"
"585","Tigalmamine.Lamb.MS","OLS_RTKjwB4I61Z",-5.35,32.9,"MED","Lake Deposits","Lake Deposits",9399,1174.5,3470,"Annual","P-E","Oxford Lake Levels Database"
"586","Tirersioum.Delibrias.1976","OLS_RfH3Xwr6M4p",-16.68,21.37,"SAH","Lake Deposits","Lake Deposits",9009,1147,2585,"Annual","P-E","Oxford Lake Levels Database"
"587","Titicaca.Baker.2001","WEBa6153aaf",-69.15,-16.13,"SAM","Other","Other (not calibrated)",9052,143.5,145,"Annual","P-E","Other"
"588","Titicaca.Fornace.2014","WEBf46bc2c2",-69.1601,-15.9368,"SAM","Leaf Wax dD","Leaf Wax (dD)",11708,260,259.5,"Summer","P","Other"
"589","Titicaca.Mourguiart.1986","OLS_RdXSYXkFIYM",-69.25,-16.13,"SAM","Lake Deposits","Lake Deposits",9009,1147,2439.5,"Annual","P-E","Oxford Lake Levels Database"
"590","TLakePalau.Sachs.2018","WEB1f2d5fc5",134.4385,7.3045,"EPO","Leaf Wax dD","Leaf Wax (dD)",10255,177.5,164,"Annual","P","Other"
"591","TML1.Lamy.2010","WEB843e2ae7-dup",-73.8019,-52.9035,"SSA","Pollen","Pollen (not calibrated)",11331.87,284.345,284.22,"Annual","P","Other"
"592","TML1.Lamy.2010","WEBc7a2aaa7",-73.8019,-52.9035,"SSA","Other","Other (not calibrated)",10991,142.87,142.82,"Annual","P","Other"
"593","TN062-0550.Barron.2018","WEB49245d00",-124.573,40.8656,"WNA","Pollen","Pollen (not calibrated)",5946.92,68.0300000000002,68.0300000000002,"Summer","P-E","Temp12k"
"594","TN062-0550.Barron.2018","WEBeb8b7a07",-124.573,40.8656,"WNA","Pollen","Pollen (not calibrated)",5946.92,68.0300000000002,68.0300000000002,"Annual","P-E","Temp12k"
"595","Tonnelnayacave.Cheng.2016","S2LRK7EQh5SRKh",67.23,38.4,"WCA","Speleothem","Speleothem (d13C)",11971.1611150703,34.0439805599999,34.0439805599999,"Annual","P-E","SISAL"
"596","TorontoLake.Wolfe.1996","LPDdf6e03fa",-109.35,63.7167,"NWN","Lake Sediment d18O","Lake Sediment (d18O)",8410,133,132,"Annual","P-E","Other"
"597","TourbieredeLanorieStJean.Comtois.1982","M2L4um5ai6xP",-73.22,46,"ENA","Pollen","Pollen (calibrated)",5468,91,91,"Annual","P","Marsicek et al. (2018)"
"598","TsoKar.Demske.2009","WEB371c0497",78,33.1667,"TIB","Pollen","Pollen (not calibrated)",10980,328,333.5,"Annual","P-E","Other"
"599","TsoMoriri.Leipe.2013","GH2b8af51c",78.3233,32.9294,"TIB","Pollen","Pollen (calibrated)",11841,154,154.5,"Annual","P","Other"
"600","Tsuolbmajavri.Korhola.2002","PYTJINRZ45D",22.05,68.41,"NEU","Pollen","Pollen (calibrated)",8942,67,67,"Annual","P","Arctic Holocene"
"601","Turkana.Butzer.1972","OLS_RDo2ZhhzvEJ",36,5,"NEAF","Lake Deposits","Lake Deposits",10319,1149,1350,"Annual","P-E","Oxford Lake Levels Database"
"602","Tyotjarvi.Donner.1978","OLS_Ri3Ip1UKJCU",25.47,60.98,"NEU","Lake Deposits","Lake Deposits",10319,1149,4044.5,"Annual","P-E","Oxford Lake Levels Database"
"603","Tyrrell.Bowler.1986","OLS_RIAO1405W9b",142.78,-35.33,"SAU","Lake Deposits","Lake Deposits",10319,1149,4825,"Annual","P-E","Oxford Lake Levels Database"
"604","Uitbergen.Verbruggen.1979","RKGGOWvka94",3.94,51.02,"WCE","Pollen","Pollen (calibrated)",3480.22,295.32,265.79,"Annual","P","Marsicek et al. (2018)"
"605","Uluu-Toocave.Wolff.2017","S2LR6SqowycH0Q",72.35,40.4,"WCA","Speleothem","Speleothem (d18O)",4672.1526,1.90950000000002,1.91829999999982,"Winter","P","SISAL"
"606","UnitLake.Camill.2012","GH31325f74",-97.493,59.404,"NEN","Other","Other (not calibrated)",8730.376,43.5275000000001,45.0429999999992,"Annual","P-E","Other"
"607","UpperBigCreek.Shuman.2015","GH7a79d6b2",-106.62,40.91,"WNA","Other","Other (not calibrated)",11950,50,50,"Annual","P-E","wNA"
"608","UpperFly.Bunbury.2009","PYT1E469BV6",-138.09,61.07,"NWN","Pollen","Pollen (calibrated)",11950.504,244.7965,244.977000000001,"Annual","P","Arctic Holocene"
"609","UpperPintoFen.Yu.2003","LPDe806555f",-118.0167,53.5833,"NWN","Other","Other (not calibrated)",8017,21.5,21.5,"Annual","P-E","Other"
"610","Van.VanZeist.1978","Ru6DOB7s7YZ",43,38.5,"WCA","Pollen","Pollen (calibrated)",10858.18,124.654999999999,132.26,"Annual","P","Marsicek et al. (2018)"
"611","Vera.Bradbury.1986b","OLS_RuVLAvVu5OP",145.87,-42.27,"SAU","Lake Deposits","Lake Deposits",10319,1149,2240,"Annual","P-E","Oxford Lake Levels Database"
"612","Vernerovice.Peichlova.1979","RJpBoQdO01s",16.2,50.62,"WCE","Pollen","Pollen (calibrated)",10781.5,334.78,338.665,"Annual","P","Marsicek et al. (2018)"
"613","VestreOykjamyrtorn.EPD","Rt5fI7YTsIK",6,59.82,"NEU","Pollen","Pollen (calibrated)",10948.38,171.79,173.055,"Annual","P","Marsicek et al. (2018)"
"614","Voelvlei.Strobel.2021","WEB7ebd522d",21.826,-34.259,"WSAF","Other","Other (not calibrated)",7590,53,53,"Annual","P-E","Other"
"615","vuoskkujavri.Bigler.2002","PYT6GVRSFN5",19.1,68.33,"NEU","Pollen","Pollen (calibrated)",8333.54,171.83,171.83,"Annual","P","Other"
"616","WA01.Rainville.2013","WEBc8473abd",-136.9264,61.2447,"NWN","Other","Other (not calibrated)",11912.39,45.2479999999999,44.8519999999999,"Annual","P-E","Other"
"617","Wabamun.Holloway.1981","OLS_RblGnR4xJrB",-114.25,53.5,"NWN","Lake Deposits","Lake Deposits",10319,1149,2177.5,"Annual","P-E","Oxford Lake Levels Database"
"618","Wachel3.Doerfler.1989","R6pznazKUB0",8.87,53.44,"NEU","Pollen","Pollen (calibrated)",9925.9,73.18,73.18,"Annual","P","Marsicek et al. (2018)"
"619","WachseldornUntermoos.Oeschger.1980","RpBQVlaFsD6",7.74,46.82,"WCE","Pollen","Pollen (calibrated)",10791.51,157.01,157.01,"Annual","P","Marsicek et al. (2018)"
"620","WAISDivide.Cuffey.2016","WEBaa6ac386",-112.08,-79.4676,"WAN","Glacier Ice","Glacier Ice",11999,1,1,"Annual","P-E","Other"
"621","Walker.Hevly.1985","OLS_RzqaAnmlHbH",-111.67,35.5,"WNA","Lake Deposits","Lake Deposits",10319,1149,1095,"Annual","P-E","Oxford Lake Levels Database"
"622","Wanum.GarrettJones.1979","OLS_Roe2Ri2GOD9",146.78,-6.63,"SEA","Lake Deposits","Lake Deposits",10319,1149,6940,"Annual","P-E","Oxford Lake Levels Database"
"623","Washburn.Winkler.1985c","OLS_RXKCFWVRanL",-89.65,43.53,"ENA","Lake Deposits","Lake Deposits",10319,1149,2852.5,"Annual","P-E","Oxford Lake Levels Database"
"624","Waxeckalm.Huettemann.1987","Ruw3dJ9QqiU",11.83,47.03,"WCE","Pollen","Pollen (calibrated)",7663.74,100.365,98.6249999999995,"Annual","P","Marsicek et al. (2018)"
"625","Wazpretticave.Williams.2005","S2LRQTAjCiqPX4",171.4,-42.1,"NZ","Speleothem","Speleothem (d13C)",7032.8547,62.2667999999999,61.5121999999992,"Annual","P-E","SISAL"
"626","WCA3BGumboLimboFarTail.Willard.2001","M2L6uvmyx6iP",-80.5056,25.7747,"ENA","Pollen","Pollen (calibrated)",4609,336,368.5,"Annual","P","Marsicek et al. (2018)"
"627","WCA3BGumboLimboMarsh.Willard.2001","M2L09maiv3tP",-80.5111,25.7789,"ENA","Pollen","Pollen (calibrated)",4302,172.5,160,"Annual","P","Marsicek et al. (2018)"
"628","Weber.Fries.1962","OLS_Rh1QgEylyEm",-91.65,47.47,"CNA","Lake Deposits","Lake Deposits",10319,1149,4825,"Annual","P-E","Oxford Lake Levels Database"
"629","Wedge.Macdonald.1982","OLS_RtESqFQmPOU",-115.17,50.87,"NWN","Lake Deposits","Lake Deposits",10319,1149,2115,"Annual","P-E","Oxford Lake Levels Database"
"630","WestOkoboji.VanZant.1979","M2Lqxgbb2dhP",-95.2,43.33,"CNA","Pollen","Pollen (calibrated)",10692,87,87,"Annual","P","Marsicek et al. (2018)"
"631","WhitneysGulch.Lamb.1980","OLS_RKvXdow2D0X",-57.3,51.52,"NEN","Lake Deposits","Lake Deposits",10319,1149,3210,"Annual","P-E","Oxford Lake Levels Database"
"632","WielkeGacno.HjelmroosEricsson.1982","OLS_Rnp35KKbNIN",17.2,53.73,"WCE","Lake Deposits","Lake Deposits",10319,1149,6889,"Annual","P-E","Oxford Lake Levels Database"
"633","WiggenhallSt.Germans.Waller.1994","RMoHhWUEYa7",0.34,52.69,"NEU","Pollen","Pollen (calibrated)",5119.28,131.68,131.68,"Annual","P","Marsicek et al. (2018)"
"634","WilderSeebeimRuhestein.EPD","RkFka3nS2xG",8.24,48.57,"WCE","Pollen","Pollen (calibrated)",9257.55,30.0999999999999,29.1599999999999,"Annual","P","Marsicek et al. (2018)"
"635","Wintergreen.Manny.1978","OLS_RzEmio4JrEJ",-85.38,42.4,"ENA","Lake Deposits","Lake Deposits",10319,1149,2585,"Annual","P-E","Oxford Lake Levels Database"
"636","Wolverine.Mann.2002","GH66374774",-158.914,67.098,"NWN","Other","Other (not calibrated)",7383.606,27.3250000000003,27.731,"Annual","P-E","Other"
"637","Woryty.EPD","RSx1aYuW4Rc",20.2,53.75,"WCE","Pollen","Pollen (calibrated)",10634.63,179.395,189.709999999999,"Annual","P","Marsicek et al. (2018)"
"638","Wulun.Chen.2008","NAm2kHydro106",87.29,47.2,"WSB","Other","Other (not calibrated)",9550,50,900,"Annual","P-E","Other"
"639","Xianglongcave.Tan.2018","S2LRljclseoP6S",106.33,33,"EAS","Speleothem","Speleothem (d18O)",5998,8,8,"Summer","P","SISAL"
"640","Xiaobailongcave.Cai.2015","S2LR3sFUdg8g4z",103.36,24.2,"EAS","Speleothem","Speleothem (d18O)",6530,30,30,"Summer","P","SISAL"
"641","XinguRia.Bertassoli.2019","WEBbed2c631",-52.28,-1.709,"NSA","Leaf Wax dD","Leaf Wax (dD)",3675.5,122.4,122.75,"Annual","P","Other"
"642","Xinyacave.T..2007","S2LR4OJ4DeyWph",109.47,30.75,"EAS","Speleothem","Speleothem (d18O)",3943.12458462,3.24922098100001,3.25806098450005,"Summer","P","SISAL"
"643","Yakumo.Leipe.2013","LPD016736e6",140.26,42.28,"EAS","Pollen","Pollen (not calibrated)",5466,100,99.5,"Summer","P","Other"
"644","Yakumo.Leipe.2013","LPD55404d27",140.26,42.28,"EAS","Pollen","Pollen (not calibrated)",5466,100,100,"Winter","P","Other"
"645","Yakumo.Leipe.2013","LPD72217804",140.26,42.28,"EAS","Pollen","Pollen (calibrated)",5466,100,106,"Annual","P","Other"
"646","Yamencave.Yang.2010","S2LRaRE1m5yKLj",107.9,25.4833,"EAS","Speleothem","Speleothem (d18O)",4678,5,5,"Summer","P","SISAL"
"647","YellowLake.Anderson.2012","GH95c4057f",-107.345,39.652,"WNA","Lake Sediment d18O","Lake Sediment (d18O)",8152.286,27.514,27.6650000000001,"Winter","P-E","Other"
"648","Ylimysneva.Huttunen.1990","Rgrci96AHcP",22.87,62.13,"NEU","Pollen","Pollen (calibrated)",9453.86,195.030000000001,195.030000000001,"Annual","P","Marsicek et al. (2018)"
"649","Zalozhtsy.Bezusko.1992","R3P8IjnESMu",25.45,49.75,"WCE","Pollen","Pollen (calibrated)",9600.78,289.36,273.46,"Annual","P","Marsicek et al. (2018)"
"650","Zbudovskablata.Rybnickova.1975","RWlqJi5lZuc",14.33,49.83,"WCE","Pollen","Pollen (calibrated)",8751.72,325.76,325.76,"Annual","P","Marsicek et al. (2018)"
"651","Zeribar.Van.1963","OLS_R14ZgdIg3vP",46.12,35.53,"WCA","Lake Deposits","Lake Deposits",10319,1149,3210,"Annual","P-E","Oxford Lake Levels Database"
"652","ZhangzangChaka.Qi.1981","OLS_RAPLKNVwmJW",82.33,32.5,"TIB","Lake Deposits","Lake Deposits",10319,1149,1200,"Annual","P-E","Oxford Lake Levels Database"
"653","Zhuliupingcave.Huang.2016","S2LRonoRI4uIVU",104.095,26.0167,"EAS","Speleothem","Speleothem (d18O)",7375.368,7.29197080000085,7.29197080000085,"Summer","P","SISAL"
"654","Zhuyeze.Chen.2006","GHab77d673",103.34,39.011,"ECA","Pollen","Pollen (not calibrated)",11530,10,10,"Summer","P-E","Other"
"655","Zhuyeze.Chen.2006","GHb76a109a",103.34,39.011,"ECA","Pollen","Pollen (not calibrated)",11550,10,10,"Summer","P-E","Other"
"656","Zirbenwaldmoor.EPD","R1KAWG8rQIL",11.03,46.86,"WCE","Pollen","Pollen (calibrated)",9564.88,112.85,112.85,"Annual","P","Marsicek et al. (2018)"
"657","ZiwayShala.Grove.1975","OLS_RRO1Ic9Qv3B",38.67,7.75,"NEAF","Lake Deposits","Lake Deposits",10319,1149,1235,"Annual","P-E","Oxford Lake Levels Database"
"658","Zuratkul'.EPD","RjmmKemx5VX",59.27,54.9,"EEU","Pollen","Pollen (calibrated)",10766.69,365.33,366.075,"Annual","P","Marsicek et al. (2018)"
"659","Kuruyange.Bonnefille.2000","WEBb6841ae1",29.68,-3.58,"SEAF","Pollen","Pollen (calibrated)",9759,103,103,"Annual","P","Other"
"660","Kuruyange.Bonnefille.2000","WEB4fba7605",29.68,-3.58,"SEAF","Pollen","Pollen (calibrated)",11086,108,108,"Annual","P","Other"
"661","RebeccaLagoon.Saunders.2012","WEBb3fd19e6",144.695,-41.1911,"SAU","Other","Other (calibrated)",3128,1,1,"Annual","P","Other"
"662","Rusaka.Bonnefille.2000","WEBa1c23512",29.62,-3.43,"SEAF","Pollen","Pollen (calibrated)",8037,64,71,"Annual","P","Other"
"663","Rusaka.Bonnefille.2000","WEB8ffcaee7",29.62,-3.43,"SEAF","Pollen","Pollen (calibrated)",9594,78,78,"Annual","P","Other"
"664","Wonderkrater.Truc.2013","WEBd3eaa693",28.7507,-24.4391,"ESAF","Pollen","Pollen (not calibrated)",11319,258,258,"Annual","P-E","Temp12k"
